Name,Keph level,Facility type,Owner,Regulatory_body,Beds,Cots,County,Constituency,Sub_county,Ward,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night
Kmq Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAJIADO,KAJIADO WEST,kajiado west,ILOODOKILANI,No,No,No,No
Ngegu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,HOMA BAY,RANGWE,rangwe,KOCHIA,No,No,No,No
GK Prison Dispensary (Homa Bay),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,HOMA BAY TOWN,homa bay town,HOMA BAY CENTRAL,No,No,No,No
Kiasa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KWABWAI,No,No,No,No
Nguku Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KANYADOTO,No,No,No,No
Maram Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KABOUCH NORTH,No,No,No,No
Ombo Kachieng' Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KABOUCH NORTH,No,No,No,No
Ober Kabuoch Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KABOUCH NORTH,No,No,No,No
Ponge Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KABUOCH SOUTH/PALA,No,No,No,No
Okok Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,NDHIWA,ndhiwa,KANYAMWA KOLOGI,No,No,No,No
Malela Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,5,0,HOMA BAY,NDHIWA,ndhiwa,KANYAMWA KOLOGI,No,No,No,No
Marereni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,6,0,KILIFI,MAGARINI,magarini,ADU,No,No,Yes,No
Mwer Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,WEST ALEGO,No,No,No,No
Masumbi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,No,No,No,No
Rabar Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,WEST ALEGO,No,No,No,No
Kogelo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,No,No,No,No
Konyao Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WEST POKOT,KACHELIBA,pokot north,KAPCHOK,No,No,No,No
Upendo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAIROBI",MATHARE,mathare,HOSPITAL,No,No,No,No
Tuiyotich Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",NJORO,njoro,MAUCHE,No,No,No,No
Kodich Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WEST POKOT,KACHELIBA,pokot north,KODICH,No,No,No,No
Nyathengo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,No,No,No,No
Nyangande Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,16,0,KISUMU,NYANDO,nyando,KABONYO/KANYAGWAI,No,No,No,No
Mataara Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,GATUNDU NORTH,gatundu north,GITUAMBA,No,No,No,No
Kaluo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,NORTH ALEGO,No,No,No,No
Uriri Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,GEM,gem,WEST GEM,No,No,No,No
Mulaha Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,CENTRAL ALEGO,No,No,No,No
Kenyerere Health Centre (Nyamira),Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,NYAMIRA,WEST MUGIRANGO,nyamira,BONYAMATUTA,No,No,No,No
Wii Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,MULANGO,No,No,No,No
Athi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,JUJA,juja,KALIMONI,No,No,No,No
Eshimukoko Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,8,2,KAKAMEGA,BUTERE,butere,MARAMA NORTH,No,No,No,No
Randung' Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,RANGWE,rangwe,WEST GEM,No,No,No,No
Savimbi Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),3,0,"NAROK",EMURUA DIKIRR,transmara east,IIKERIN,Yes,No,Yes,No
Mukarara Community Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,GATANGA,gatanga,GATANGA,No,No,No,No
Kahiga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,NYERI TOWN,nyeri central,KIGANJO/MATHARI,No,No,No,No
Sirata Oirobi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SAMBURU,SAMBURU CENTRAL,samburu central,PORRO,No,No,No,No
Kamaguna Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,THARAKA,tharaka north,GATUNGA,No,No,No,No
Kasei Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WEST POKOT,KACHELIBA,pokot north,KASEI,No,No,No,No
Nauyapong Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WEST POKOT,KACHELIBA,pokot north,ALALE,No,No,No,No
Assa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TANA RIVER,GARSEN,GARSEN,GARSEN WEST,Yes,No,No,No
Kenyerere Sub County Hospital,Level 2,Primary care hospitals,Ministry of Health,Ministry of Health,24,1,KISII,BOBASI,bobasi,SAMETA/MOKWERERO,Yes,No,No,No
Wath Onger Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MIGORI,NYATIKE,nyatike sub county,MACALDER/KANYARWANDA,No,No,No,No
Miritini CDF Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MOMBASA,JOMVU,jomvu,JOMVU KUU,No,No,No,No
Kimachia Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,TIGANIA WEST,tigania west,NKOMO,No,No,No,No
Limoro Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,TIGANIA WEST,tigania west,ATHWANA,No,No,No,No
Bokole CDF Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MOMBASA,CHANGAMWE,changamwe,AIRPORT,Yes,No,No,No
Island Farms Dispensary,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,8,0,NYERI,KIENI,kieni east,"NAROMORU/KIAMATHAGA",No,No,No,No
Arjijo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,1,LAIKIPIA,LAIKIPIA NORTH,laikipia north,MUGOGODO EAST,Yes,No,Yes,No
Gakurungu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,THARAKA,tharaka south,CHIAKAGIRA,No,No,No,No
Gathaithi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KIHARU,kiharu,MURARANDIA,No,No,No,No
Mureru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,KIENI,kieni east,GAKAWA,No,No,No,No
Bar Olengo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,ALEGO USONGA,alego usonga,SOUTH EAST ALEGO,No,No,No,No
Kapchumba Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NANDI",EMGWEN,emgwen,KILIBWONI,Yes,No,No,No
Westlands Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Other,20,0,"NAIROBI",DAGORETTI NORTH,dagoretti north,KILELESHWA,Yes,No,Yes,No
Starlite Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,"NAKURU",RONGAI,rongai,MOSOP,No,No,No,No
Sibuoche Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,MIGORI,URIRI,urir sub county,WEST KANYAMKAGO,No,No,No,No
Rukenya Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,THARAKA,tharaka south,MARIMANTI,No,No,No,No
Kako Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,MBOONI,mbooni,WAIA-KAKO,No,No,No,No
Kamboe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,LAISAMIS,laisamis,LOGLOGO,No,No,No,No
Gitaro Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KIHARU,kiharu,MUGOIRI,No,No,No,No
Njoguini Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,TETU,tetu,DEDAN KIMATHI,No,No,No,No
Tulia Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,KITUI,KITUI WEST,kitui west,MUTONGONI,No,No,No,No
Gitugi Dispensary (Muranga North),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,MATHIOYA,mathioya,GITUGI,No,No,No,No
Ulungo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,SIAYA,BONDO,bondo,YIMBO EAST,No,No,No,No
Goro Rukesa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,SAKU,saku,SAGANTE/JALDESA,No,No,No,No
Sieka Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,KITUTU CHACHE NORTH,kitutu chache north,MARANI,No,No,No,No
Kalunga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,MACHAKOS,KATHIANI,kathiani,UPPER KAEWA/IVETI,No,No,No,No
Ogero Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,GEM,gem,SOUTH GEM,No,No,No,No
Lailuba Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,TIGANIA EAST,tigania east,MUTHARA,No,No,No,No
Midhine Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,GEM,gem,EAST GEM,No,No,No,No
Kabati Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,KIENI,kieni west,GATARAKWA,No,No,No,No
Eshinutsa Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,24,10,KAKAMEGA,KHWISERO,khwisero,KISA EAST,No,No,No,No
Kiamabara Health Centre,Level 2,Comprehensive primary health care facility,Ministry of Health,Ministry of Health,21,0,NYERI,MATHIRA,mathira east,KONYU,Yes,No,No,No
Riat Dispensary (Migori),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,NYATIKE,nyatike sub county,KALER,No,No,No,No
Otati Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,NYATIKE,nyatike sub county,KACHIEN'G,No,No,No,No
Ciagini  Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KIRINYAGA,MWEA,kirinyaga north/mwea west,WAMUMU,No,No,No,No
Shikusi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,SHINYALU,shinyalu,ISUKHA SOUTH,No,No,Yes,No
Rariw Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,3,0,HOMA BAY,RANGWE,rangwe,EAST GEM,No,No,No,No
Sivilie Health Centre,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,"NAVAKHOLO",navakholo,BUNYALA EAST,No,No,Yes,No
Enoosaen Zh Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Institution,0,0,"NAROK",KILGORIS,transmara west,KEYIAN,No,No,Yes,No
Kinoru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,No,No,No,No
Ondong Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,SUNA EAST,suna east sub county,SUNA CENTRAL,No,No,No,No
Ngorika Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,10,0,NYANDARUA,OL KALOU,olkalou,KANJUIRI RANGE,Yes,No,Yes,No
Githiriga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",KURESOI NORTH,kuresoi north,NYOTA,No,No,No,No
Loosuk GK Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,6,2,SAMBURU,SAMBURU CENTRAL,samburu central,LOOSUK,No,No,No,No
Nduru Kadero Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,SEME,seme,NORTH SEME,No,No,No,No
Wagalla Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR WEST,wajir west,GANYURE/WAGALLA,Yes,No,Yes,No
Kagicha Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,Nyeri South,nyeri south,CHINGA,No,No,No,No
Ilpolei Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,1,LAIKIPIA,LAIKIPIA NORTH,laikipia north,SEGERA,Yes,No,Yes,No
Githagara Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MURANG'A,KIHARU,kiharu,MUGOIRI,No,No,No,No
Midoti Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,SUNA EAST,suna east sub county,SUNA CENTRAL,No,No,No,No
Mnara Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,MUHORONI,muhoroni,MUHORONI KORU,No,No,No,No
Bethsaida (AIC) Clinic (Nakuru),Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,"NAKURU",RONGAI,rongai,MENENGAI WEST,No,No,Yes,No
Nthambiro Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE CENTRAL,igembe central,IGEMBE EAST,No,No,No,No
Mafisini Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KWALE,MSAMBWENI,msambweni,RAMISI,No,No,No,No
Magena Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,11,0,KISII,BOMACHOGE BORABU,bomachoge borabu,BOMBABA BORABU,No,No,No,No
Kavuta Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA WEST,No,No,No,No
Witima Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,12,0,NYERI,Nyeri South,nyeri south,KARIMA,Yes,No,No,No
Katutu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,KITUI,KITUI WEST,kitui west,KAUWI,No,No,No,No
Tii Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI NORTH,mwingi north,KYUSO,No,No,No,No
Kairini Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIRINYAGA,NDIA,kirinyaga west,KIINE,No,No,No,No
Malka Daka Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,ISIOLO,ISIOLO SOUTH,garbatulla,GARBA TULLA,No,No,Yes,No
Adiedo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,2,HOMA BAY,KARACHUONYO,karachuonyo,KANYALUO,No,No,No,No
Horesha Medicalicare,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,TAITA TAVETA,MWATATE,mwatate,CHAWIA,No,No,No,No
Chogoria (PCEA) Hospital,Level 4,Primary care hospitals,Christian Health Association of Kenya,Kenya MPDB - Institution,320,12,THARAKA-NITHI,MAARA,maara,CHOGORIA,Yes,No,Yes,No
Gatangara Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KANGEMA,mathioya,KANYENYA-INI,No,No,No,No
Sarman Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,TARBAJ,tarbaj,SARMAN,Yes,No,Yes,No
Kakuuni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA WEST,No,No,No,No
Mansile Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,MOYALE,moyale,HEILLU/MANYATTA,No,No,No,No
Marua Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYERI,NYERI TOWN,nyeri central,GATITU/MURUGURU,No,No,No,No
Hulahula Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,SAKU,saku,KARARE,No,No,No,No
Kiropket Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NANDI",EMGWEN,emgwen,KAPSABET,Yes,No,No,No
Kandege Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,MUHORONI,muhoroni,MUHORONI KORU,No,No,No,No
Ewaso Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,1,LAIKIPIA,LAIKIPIA NORTH,laikipia north,MUGOGODO WEST,Yes,No,Yes,No
Limauru Dispensay,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,TIGANIA WEST,tigania west,NKOMO,No,No,No,No
Kina Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,IGEMBE CENTRAL,igembe central,IGEMBE EAST,No,No,No,No
Makaani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,MIAMBANI,No,No,No,No
Mwapala Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KWALE,MATUGA,matuga,KUBO SOUTH,No,No,No,No
Fitc Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",RONGAI,rongai,MENENGAI WEST,No,No,No,No
Nyamarimba Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,NYAKACH,nyakach,SOUTH WEST NYAKACH,No,No,No,No
Kalii Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,KIBWEZI WEST,kibwezi west,MAKINDU,No,No,No,No
Mizijini Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,MAGARINI,magarini,MARAFA,No,No,Yes,No
Agenga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MIGORI,NYATIKE,nyatike sub county,NORTH KADEM,Yes,No,Yes,No
Meri Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,HABASSWEIN,No,No,No,No
Gotichaki Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,SOUTH MUGIRANGO,south mugirango,BOGETENGA,No,No,No,No
Dadajabula Sub District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,DADAJA BULLA,No,No,No,No
Kiaruta Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BONCHARI,bonchari,BOGIAKUMU,No,No,No,No
Unilever Central Hospital,Level 4,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Institution,12,4,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,Yes,No,Yes,No
Chepkumia Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NANDI",EMGWEN,emgwen,CHEPKUMIA,No,No,No,No
Barambate Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,ISIOLO,ISIOLO SOUTH,garbatulla,KINNA,No,No,Yes,No
Nyamasare Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,5,2,MIGORI,URIRI,urir sub county,NORTH KANYAMKAGO,No,No,No,No
Administration Police Dispensary (Kisumu East),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,KISUMU CENTRAL,kisumu central,NYALENDA B,No,No,No,No
Pingilikani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,KILIFI SOUTH,kilifi south,MWARAKAYA,No,No,No,No
Gahaleni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,MALINDI,malindi,GANDA,No,No,No,No
Mangala Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MAKUENI,KAITI,Kaiti,KEE,No,No,No,No
Nyansancha Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,NYARIBARI CHACHE,nyaribari chache,KISII CENTRAL,No,No,No,No
Longewan Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SAMBURU,SAMBURU CENTRAL,samburu central,SUGUTA MARMAR,No,No,No,No
Kambandi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,CHUKA/IGAMBANG'OMBE,chuka/igambang'ombe,MUGWE,No,No,No,No
Kyandui Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,MULANGO,No,No,No,No
Gatheru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KIHARU,kiharu,WANGU,No,No,No,No
Gotani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,KALOLENI,kaloleni,KAYAFUNGO,No,No,No,No
Kapkures Dispensary (Nakuru Central),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",RONGAI,rongai,MENENGAI WEST,No,No,No,No
Bodi Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,5,0,KISUMU,SEME,seme,CENTRAL SEME,Yes,No,Yes,No
Itibo Eramani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BOBASI,bobasi,SAMETA/MOKWERERO,No,No,No,No
Kimiti Model Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,1,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU WEST,No,No,No,No
Kasuku Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,6,0,NYANDARUA,OLJOROOK,oljoroorok,WERU,Yes,No,Yes,No
Ndiwa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,MIGORI,NYATIKE,nyatike sub county,NORTH KADEM,No,No,No,No
Damajaley Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,GARISSA,DAADAB,dadaab,DAMAJALE,No,No,No,No
Makutano Dispensary (Soysambu/mitua),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,SOYSAMBU/MITUA,No,No,No,No
Ngai Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,2,MAKUENI,MBOONI,mbooni,KITHUNGO/KITUNDU,No,No,No,No
Mbusyani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI RURAL,kitui rural,KISASI,No,No,No,No
Immurtot Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,20,4,KAJIADO,KAJIADO SOUTH,loitokitok,ENTONET/LENKISM,Yes,No,Yes,No
Kajieyi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,KARACHUONYO,karachuonyo,WANG'CHIENG,No,No,No,No
Rukira Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,KITHIMU,No,No,No,No
Kaboywo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,No,No,No,No
